suite_name,experiment_publisher_group,publisher_display_name,suite_slot_index,suite_slot_bucket,selection_reason,selection_bucket,validation_cohort,scihub_confound_risk,source_open_access,source_has_pdf_url,doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
full,acs,ACS,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1021/acssensors.4c02946,"Nickel Oxide Nanostructures for Gas Sensing: Recent Advances, Challenges, and Future Perspectives",American Chemical Society,2025,27,,False,Pending
full,acs,ACS,2,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1021/acspolymersau.4c00092,Cellulose-Based Nanofibers Infused with Biotherapeutics for Enhanced Wound-Healing Applications,American Chemical Society,2025,18,,True,Pending
full,acs,ACS,3,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1021/acsomega.3c08717,"A Review of Synthesis Methods, Modifications, and Mechanisms of ZnO/TiO<sub>2</sub>-Based Photocatalysts for Photodegradation of Contaminants",American Chemical Society,2024,243,https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c08717,True,Pending
full,elsevier,Elsevier,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1016/j.apcatb.2024.124297,Hydrogen bond-assisted construction of MOF/semiconductor heterojunction photocatalysts for highly efficient electron transfer,Elsevier BV,2024,47,,False,Pending
full,elsevier,Elsevier,2,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1016/j.jmrt.2025.05.041,Achieving low-temperature Cu–Cu bonding platform via area-selective metal films with superior surface roughness for advanced packaging,Elsevier BV,2025,4,,True,Pending
full,elsevier,Elsevier,3,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1016/j.rser.2024.114615,Theoretical and experimental progress in photothermal catalysis for sustainable energy and environmental protection: Key problems and strategies towards commercialization,Elsevier BV,2024,46,,False,Pending
full,cell,Cell-family,1,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1016/j.xcrp.2024.102254,Area-selective deposition of lateral van der Waals semiconductor heterostructures,Elsevier BV,2024,3,,True,Pending
full,cell,Cell-family,2,direct_pdf_oa,fallback_legacy:direct_pdf_oa,direct_pdf_oa,legacy_fallback,higher_legacy,True,True,10.1016/j.matt.2023.07.012,"Wafer-scale growth of two-dimensional, phase-pure InSe",Elsevier BV,2023,43,http://www.cell.com/article/S2590238523003685/pdf,True,Pending
full,cell,Cell-family,3,direct_pdf_oa,fallback_legacy:direct_pdf_oa,direct_pdf_oa,legacy_fallback,higher_legacy,True,True,10.1016/j.matt.2022.01.006,An innovative synthesis strategy for high-efficiency and defects-switchable-hydrogenated TiO2 photocatalysts,Elsevier BV,2022,61,http://www.cell.com/article/S2590238522000066/pdf,True,Pending
full,wiley,Wiley,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1002/adma.202409188,One‐Dimensional Single‐Crystal Mesoporous TiO<sub>2</sub> Supported CuW<sub>6</sub>O<sub>24</sub> Clusters as Photocatalytic Cascade Nanoreactor for Boosting Reduction of CO<sub>2</sub> to CH<sub>4</sub>,Advanced Materials,2024,35,,False,Pending
full,wiley,Wiley,2,landing_oa,fill_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1002/cssc.202401875,Surface Ligands for Perovskite Quantum Dots,Wiley,2024,23,,False,Pending
full,wiley,Wiley,3,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1002/adma.202501494,Functional Groups‐Regulated Organic Semiconductors for Efficient Artificial Photosynthesis of Hydrogen Peroxide,Advanced Materials,2025,41,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202501494,True,Pending
full,aip,AIP/AVS,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1063/5.0257779,Layer-by-layer NH3 plasma treatment for area-selective atomic layer deposition of high-quality SiO2 thin films,American Institute of Physics,2025,4,,False,Pending
full,aip,AIP/AVS,2,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1063/5.0246311,Topographically selective atomic layer deposition within trenches enabled by an amorphous carbon inhibition layer,American Institute of Physics,2025,3,,True,Pending
full,aip,AIP/AVS,3,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1116/6.0004298,SiO2 atomic-layer fluorination-passivation for dual-material molybdenum/polypyrrole area-selective deposition and strategies for surface reactivation,American Institute of Physics,2025,1,https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004298/20439474/032401_1_6.0004298.pdf,True,Pending
full,nature,Nature Portfolio,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1038/s41566-023-01356-0,Surface-defect-passivation-enabled near-unity charge collection efficiency in bromide-based perovskite gamma-ray spectrum devices,Nature Portfolio,2024,62,,False,Pending
full,nature,Nature Portfolio,2,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1038/s41699-024-00456-x,Advance in additive manufacturing of 2D materials at the atomic and close-to-atomic scale,Nature Portfolio,2024,50,https://www.nature.com/articles/s41699-024-00456-x.pdf,True,Pending
full,nature,Nature Portfolio,3,landing_oa,fill_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1038/s41928-024-01202-3,Vertically grown metal nanosheets integrated with atomic-layer-deposited dielectrics for transistors with subnanometre capacitance-equivalent thicknesses,Nature Portfolio,2024,23,,False,Pending
full,springer,Springer Link,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1007/s10311-024-01758-8,Nanomaterials for surface-enhanced Raman spectroscopy-based metal detection: a review,Springer Science+Business Media,2024,24,,False,Pending
full,springer,Springer Link,2,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1007/s12541-025-01337-z,"Novel Atomic Layer Processes for Semiconductor Manufacturing: Area Selective Deposition, Atomic Layer Annealing, and Atomic Layer Etching",Springer Science+Business Media,2025,1,https://link.springer.com/content/pdf/10.1007/s12541-025-01337-z.pdf,True,Pending
full,rsc,RSC,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1039/d4mh01711k,Multifunctional UV photodetect-memristors based on area selective fabricated Ga <sub>2</sub> S <sub>3</sub> /graphene/GaN van der Waals heterojunctions,Royal Society of Chemistry,2025,10,,False,Pending
full,rsc,RSC,2,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1039/d4mh01472c,Nanostructure fabrication by area selective deposition: a brief review,Royal Society of Chemistry,2024,12,,True,Pending
full,rsc,RSC,3,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1039/d4na00784k,"Advances in core technologies for semiconductor manufacturing: applications and challenges of atomic layer etching, neutral beam etching and atomic layer deposition",Royal Society of Chemistry,2025,16,https://pubs.rsc.org/en/content/articlepdf/2025/na/d4na00784k,True,Pending
full,iop,IOP,1,landing_closed,fill_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1088/1402-4896/ad1e44,A review of novel methods to improve the optical and electrical properties of n-type and p-type sulphides and oxides: leading the frontiers of semiconductor technology,IOP Publishing,2024,22,,True,Pending
full,iop,IOP,2,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.35848/1882-0786/ada247,Surface patterning of wide-gap semiconducting β-Ga<sub>2</sub>O<sub>3</sub> thin films by area selective crystallization via room-temperature excimer laser annealing and low-toxic wet etching processes,Institute of Physics,2024,2,,True,Pending
full,mdpi,MDPI,1,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.3390/nano15030164,Investigating Benzoic Acid Derivatives as Potential Atomic Layer Deposition Inhibitors Using Nanoscale Infrared Spectroscopy,Multidisciplinary Digital Publishing Institute,2025,1,https://www.mdpi.com/2079-4991/15/3/164/pdf?version=1737538802,True,Pending
full,mdpi,MDPI,2,landing_oa,fill_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.3390/mi15020261,Area-Selective Growth of Zinc Oxide Nanowire Arrays for Piezoelectric Energy Harvesting,Multidisciplinary Digital Publishing Institute,2024,9,https://www.mdpi.com/2072-666X/15/2/261/pdf?version=1707562578,True,Pending
full,ieee,IEEE,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1109/ectc51529.2024.00363,Low Temperature Cu/SiO<sub>2</sub> Hybrid Bonding Using Area-Selective Metal Passivation (Interface Metal) Technology for 3D IC and Advanced Packaging,,2024,6,,False,Pending
full,ieee,IEEE,2,landing_oa,fallback_legacy:landing_oa,landing_oa,legacy_fallback,higher_legacy,True,False,10.1109/led.2021.3124960,Area-Selective Electroless Deposition of Cu for Hybrid Bonding,Institute of Electrical and Electronics Engineers,2021,28,,True,Pending
full,aps,APS,1,landing_closed,fallback_legacy:landing_closed,landing_closed,legacy_fallback,higher_legacy,False,False,10.1103/physrevb.90.155405,Band alignment of semiconductors from density-functional theory and many-body perturbation theory,American Physical Society,2014,338,,False,Pending
full,taylor_and_francis,Taylor & Francis,1,landing_closed,fallback_legacy:landing_closed,landing_closed,legacy_fallback,higher_legacy,False,False,10.1080/15421406.2019.1595474,Area-selective Photodeformation Behavior of<i>N</i>-benzylideneaniline Liquid Crystalline Polymeric Films Prepared with Sublimed Crosslinker,Taylor & Francis,2018,1,,False,Pending
